first_name,gender,birth_date,age,city,department,sector,seniority_level,years_experience,highest_education,employment_type,contract_type,technical_skills,language_proficiency,education_history,work_history,edu_value
هاجر,Male,1981-08-28,43,Aïn Témouchent,Operations,Pharmaceuticals,Chief,21,Ingénieur d'État,Contract,Stage,"Negotiation, Teamwork, Project Management, Presentation Skills, Adaptability, Arabic/French Bilingual, Team Leadership, Conflict Resolution, Time Management, Microsoft Office, Strategic Planning, Problem Solving","{'Spanish': 'Native', 'English': 'Basic', 'Arabic': 'Fluent', 'Tamazight': 'Basic'}","[{'degree': ""Ingénieur d'État"", 'institution': 'University of El Oued', 'field_of_study': 'orthoprothésiste', 'start_year': 2002, 'end_year': 2005, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Bigot High School', 'field_study': 'Science', 'start_year': 1997, 'end_year': 2000, 'grade': 'Very Good'}]","[{'company': 'Rolland et Fils', 'job_title': 'Supply Chain Manager', 'department': 'Operations', 'sector': 'Pharmaceuticals', 'start_date': '2023-07-12', 'end_date': 'Present', 'location': 'Sétif', 'responsibilities': 'transition next-generation applications, embrace cutting-edge e-commerce, extend virtual networks'}, {'company': 'Dubois', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Pharmaceuticals', 'start_date': '2018-05-13', 'end_date': '2022-03-25', 'location': 'Tiaret', 'responsibilities': 'enhance cross-platform markets, expedite efficient channels'}, {'company': 'Lefebvre Lemaître SARL', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Tourism & Hospitality', 'start_date': '2016-01-19', 'end_date': '2017-02-18', 'location': 'Tiaret', 'responsibilities': 'benchmark virtual e-commerce, envisioneer bricks-and-clicks infrastructures'}, {'company': 'Vasseur', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Mining', 'start_date': '2011-10-11', 'end_date': '2015-08-12', 'location': 'In Salah', 'responsibilities': 'benchmark dot-com networks, deploy impactful ROI'}, {'company': 'Bonnin Simon S.A.', 'job_title': 'General Director', 'department': 'FinTech Innovation', 'sector': 'Banking & Finance', 'start_date': '2008-08-08', 'end_date': '2010-09-04', 'location': 'Skikda', 'responsibilities': 'empower mission-critical action-items, productize synergistic platforms'}, {'company': 'Grenier', 'job_title': 'Department Director', 'department': 'Food Processing', 'sector': 'Agriculture', 'start_date': '2005-03-27', 'end_date': '2007-12-24', 'location': 'Laghouat', 'responsibilities': 'seize bleeding-edge initiatives, deploy 24/7 e-services'}]",19
عبّاس,Female,1988-11-18,36,Naama,General Management,Media & Entertainment,Junior,14,Licence,Contract,CDD,"Presentation Skills, Teamwork, Negotiation, Arabic/French Bilingual, Microsoft Office, Communication, Adaptability, Team Leadership, Problem Solving, Report Writing, Strategic Planning, Critical Thinking","{'English': 'Basic', 'Arabic': 'Native'}","[{'degree': 'Licence', 'institution': 'University of Tiaret', 'field_of_study': 'styliste', 'start_year': 2007, 'end_year': 2010, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Gomes High School', 'field_study': 'Literature', 'start_year': 2004, 'end_year': 2007, 'grade': 'Good'}]","[{'company': 'Gros', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Media & Entertainment', 'start_date': '2015-12-19', 'end_date': 'Present', 'location': 'Laghouat', 'responsibilities': 'embrace impactful channels, exploit cross-platform models, leverage robust synergies'}, {'company': 'Lévy', 'job_title': 'Team Leader', 'department': 'International Relations', 'sector': 'Education', 'start_date': '2010-08-14', 'end_date': '2014-11-15', 'location': 'Blida', 'responsibilities': 'leverage next-generation supply-chains, incubate global supply-chains'}]",15
طائع,Male,1990-08-01,34,Ghardaïa,Drilling Operations,Energy & Petroleum,Senior,12,Bac,Freelance,Alternance,"Team Leadership, Conflict Resolution, Strategic Planning, Report Writing, Presentation Skills, Communication, Microsoft Office, Critical Thinking, Adaptability, Time Management, Project Management","{'Tamazight': 'Intermediate', 'German': 'Native', 'Arabic': 'Intermediate'}","[{'degree': 'Bac', 'institution': 'University of Tlemcen', 'field_of_study': 'assistant réalisateur réalisatrice', 'start_year': 2008, 'end_year': 2009, 'grade': 'Excellent'}]","[{'company': 'Louis', 'job_title': 'Drilling Supervisor', 'department': 'Drilling Operations', 'sector': 'Energy & Petroleum', 'start_date': '2014-07-21', 'end_date': 'Present', 'location': 'Ghardaïa', 'responsibilities': 'embrace best-of-breed info-mediaries, engage dot-com experiences, unleash scalable action-items'}, {'company': 'Delannoy', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Mining', 'start_date': '2012-09-12', 'end_date': '2013-12-08', 'location': 'Oran', 'responsibilities': 'implement seamless technologies, repurpose user-centric experiences'}]",12
حيدر,Female,1972-10-16,52,Biskra,General Management,Transport & Logistics,Mid,28,Master,Contract,Freelance,"Microsoft Office, Project Management, Presentation Skills, Time Management, Strategic Planning, Problem Solving, Report Writing, Team Leadership, Negotiation, Conflict Resolution, Communication, Teamwork","{'German': 'Fluent', 'Spanish': 'Native', 'Tamazight': 'Intermediate'}","[{'degree': 'Master', 'institution': 'University of Mostaganem', 'field_of_study': 'géomaticien', 'start_year': 1994, 'end_year': 1996, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Delannoy High School', 'field_study': 'Mathematics', 'start_year': 1988, 'end_year': 1991, 'grade': 'Excellent'}]","[{'company': 'Laurent', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Transport & Logistics', 'start_date': '2012-05-09', 'end_date': 'Present', 'location': 'Naama', 'responsibilities': 'utilize transparent info-mediaries, target virtual deliverables, morph viral channels'}, {'company': 'Charles', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Transport & Logistics', 'start_date': '2009-05-24', 'end_date': '2011-09-06', 'location': 'Aïn Témouchent', 'responsibilities': 'whiteboard end-to-end e-markets, revolutionize end-to-end action-items'}, {'company': 'Denis', 'job_title': 'Department Director', 'department': 'Investment Management', 'sector': 'Banking & Finance', 'start_date': '2005-04-01', 'end_date': '2008-02-03', 'location': 'Tiaret', 'responsibilities': 'synergize distributed networks, productize proactive e-commerce'}, {'company': 'Bazin SA', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Manufacturing', 'start_date': '2003-07-25', 'end_date': '2004-11-23', 'location': 'Timimoun', 'responsibilities': 'engage cross-media architectures, iterate virtual convergence'}, {'company': 'Duhamel', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Public Sector', 'start_date': '1999-05-16', 'end_date': '2002-09-20', 'location': 'Mostaganem', 'responsibilities': 'target robust action-items, synergize frictionless infrastructures'}, {'company': 'Foucher Parent S.A.S.', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Renewable Energy', 'start_date': '1996-04-04', 'end_date': '1998-08-18', 'location': 'Timimoun', 'responsibilities': 'target transparent platforms, syndicate cutting-edge web-readiness'}]",17
صدر الدّين,Female,2002-02-24,23,Tiaret,Operations,Public Sector,Chief,1,Licence,Internship,CDI,"Presentation Skills, Strategic Planning, Conflict Resolution, Time Management, Communication","{'French': 'Basic', 'Spanish': 'Basic', 'English': 'Basic'}","[{'degree': 'Licence', 'institution': 'University of Tizi Ouzou', 'field_of_study': 'magistrat', 'start_year': 2020, 'end_year': 2023, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'Peltier Gimenez S.A. High School', 'field_study': 'Science', 'start_year': 2017, 'end_year': 2020, 'grade': 'Excellent'}]","[{'company': 'Lombard S.A.S.', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Public Sector', 'start_date': '2024-06-04', 'end_date': 'Present', 'location': 'Laghouat', 'responsibilities': 'exploit e-business convergence, implement bricks-and-clicks markets, orchestrate efficient partnerships'}]",15
مَجدي,Female,1971-04-21,54,Biskra,General Management,Pharmaceuticals,Junior,30,Master,Freelance,Freelance,"Conflict Resolution, Teamwork, Arabic/French Bilingual, Team Leadership, Communication, Report Writing, Adaptability, Problem Solving, Negotiation, Presentation Skills, Microsoft Office, Strategic Planning","{'Arabic': 'Basic', 'Tamazight': 'Basic'}","[{'degree': 'Master', 'institution': 'University of Blida', 'field_of_study': 'consultant en informatique décisionnelle', 'start_year': 1992, 'end_year': 1994, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'Reynaud High School', 'field_study': 'Literature', 'start_year': 1986, 'end_year': 1989, 'grade': 'Average'}]","[{'company': 'Ledoux', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Pharmaceuticals', 'start_date': '1999-03-09', 'end_date': 'Present', 'location': 'Timimoun', 'responsibilities': 'e-enable back-end communities, architect distributed e-markets, target turn-key vortals'}, {'company': 'Roy', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'E-Commerce', 'start_date': '1997-06-13', 'end_date': '1998-11-24', 'location': 'Timimoun', 'responsibilities': 'incubate front-end users, matrix turn-key models'}, {'company': 'Turpin', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Renewable Energy', 'start_date': '1995-11-21', 'end_date': '1996-01-27', 'location': 'Biskra', 'responsibilities': 'integrate cross-platform metrics, disintermediate proactive solutions'}, {'company': 'Guibert Didier SA', 'job_title': 'Security Consultant', 'department': 'Cybersecurity', 'sector': 'Information Technology', 'start_date': '1992-02-05', 'end_date': '1994-02-21', 'location': 'Illizi', 'responsibilities': 'benchmark strategic web services, visualize seamless e-business'}]",17
هلال,Female,1967-04-19,58,Béjaïa,Operations,Construction,Chief,30,Doctorat,Internship,Freelance,"Team Leadership, Time Management, Communication, Adaptability, Report Writing, Conflict Resolution, Strategic Planning, Project Management, Presentation Skills, Critical Thinking, Problem Solving, Microsoft Office","{'French': 'Native', 'German': 'Basic'}","[{'degree': 'Doctorat', 'institution': 'University of Chlef', 'field_of_study': 'animateur de radio et de télévision', 'start_year': 1990, 'end_year': 1995, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'Boulay SARL High School', 'field_study': 'Science', 'start_year': 1982, 'end_year': 1985, 'grade': 'Very Good'}]","[{'company': 'Briand Barbier S.A.', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Construction', 'start_date': '2010-06-10', 'end_date': 'Present', 'location': 'Oran', 'responsibilities': 'harness proactive supply-chains, empower front-end initiatives, synergize B2B networks'}, {'company': 'Guyot S.A.R.L.', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Media & Entertainment', 'start_date': '2006-10-01', 'end_date': '2009-10-26', 'location': 'Jijel', 'responsibilities': 'brand proactive interfaces, productize vertical mindshare'}, {'company': 'Jourdan', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Retail', 'start_date': '2001-10-05', 'end_date': '2005-06-02', 'location': 'Constantine', 'responsibilities': 'embrace intuitive users, integrate cutting-edge ROI'}, {'company': 'Mahe Bonneau et Fils', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Aerospace & Defense', 'start_date': '1998-07-16', 'end_date': '2000-04-05', 'location': 'Chlef', 'responsibilities': 'strategize 24/7 methodologies, empower strategic methodologies'}, {'company': 'Techer Leroux S.A.', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Pharmaceuticals', 'start_date': '1994-04-02', 'end_date': '1997-03-17', 'location': 'Tizi Ouzou', 'responsibilities': 'expedite end-to-end methodologies, expedite magnetic info-mediaries'}, {'company': 'Cordier', 'job_title': 'Operations Manager', 'department': 'Food Processing', 'sector': 'Agriculture', 'start_date': '1991-08-06', 'end_date': '1993-04-11', 'location': 'Tlemcen', 'responsibilities': 'generate user-centric platforms, productize compelling deliverables'}]",20
نضال,Male,1989-08-07,35,Saïda,General Management,Renewable Energy,Senior,11,Master,Part-Time,CDD,"Time Management, Teamwork, Presentation Skills, Arabic/French Bilingual, Report Writing, Adaptability, Team Leadership, Conflict Resolution, Strategic Planning, Critical Thinking","{'German': 'Intermediate', 'English': 'Intermediate', 'Arabic': 'Native'}","[{'degree': 'Master', 'institution': 'University of Biskra', 'field_of_study': 'metteur en scène', 'start_year': 2011, 'end_year': 2013, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Baudry SA High School', 'field_study': 'Science', 'start_year': 2005, 'end_year': 2008, 'grade': 'Excellent'}]","[{'company': 'Nguyen', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Renewable Energy', 'start_date': '2024-09-28', 'end_date': 'Present', 'location': 'Ghardaïa', 'responsibilities': 'aggregate intuitive e-markets, extend cutting-edge web-readiness, scale strategic mindshare'}, {'company': 'Aubert', 'job_title': 'Supply Chain Manager', 'department': 'Operations', 'sector': 'Pharmaceuticals', 'start_date': '2022-03-15', 'end_date': '2023-11-23', 'location': ""M'sila"", 'responsibilities': 'exploit ubiquitous e-commerce, redefine wireless functionalities'}, {'company': 'Daniel', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Mining', 'start_date': '2017-04-10', 'end_date': '2021-01-27', 'location': 'El Tarf', 'responsibilities': 'leverage turn-key bandwidth, deliver global markets'}, {'company': 'Charrier et Fils', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Mining', 'start_date': '2014-10-25', 'end_date': '2016-01-03', 'location': 'In Salah', 'responsibilities': 'extend mission-critical interfaces, monetize bleeding-edge deliverables'}]",17
سامح,Female,1977-12-30,47,Naama,General Management,Media & Entertainment,Senior,19,Doctorat,Full-Time,Alternance,"Critical Thinking, Adaptability, Teamwork, Arabic/French Bilingual, Problem Solving, Conflict Resolution, Report Writing, Communication, Team Leadership, Strategic Planning, Presentation Skills, Negotiation","{'Spanish': 'Native', 'German': 'Native', 'Arabic': 'Basic'}","[{'degree': 'Doctorat', 'institution': 'University of Tiaret', 'field_of_study': ""chargé d'études en marketing"", 'start_year': 2001, 'end_year': 2006, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Chauvet Charpentier et Fils High School', 'field_study': 'Mathematics', 'start_year': 1993, 'end_year': 1996, 'grade': 'Good'}]","[{'company': 'Maréchal S.A.', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Media & Entertainment', 'start_date': '2014-03-16', 'end_date': 'Present', 'location': 'Ouargla', 'responsibilities': 'disintermediate killer ROI, iterate 24/365 supply-chains, generate collaborative communities'}, {'company': 'Carpentier', 'job_title': 'Project Manager', 'department': 'Vocational Training', 'sector': 'Education', 'start_date': '2009-06-07', 'end_date': '2013-11-04', 'location': 'Chlef', 'responsibilities': 'unleash viral platforms, deploy mission-critical architectures'}, {'company': 'Munoz', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Fisheries', 'start_date': '2006-04-08', 'end_date': '2008-10-25', 'location': ""M'sila"", 'responsibilities': 'redefine scalable niches, engage world-class e-commerce'}, {'company': 'Hervé', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Manufacturing', 'start_date': '2003-03-11', 'end_date': '2005-05-07', 'location': 'Annaba', 'responsibilities': 'harness back-end web-readiness, evolve scalable communities'}]",20
معين,Female,1967-11-25,57,Blida,Operations,Mining,Junior,35,Licence,Part-Time,Stage,"Negotiation, Problem Solving, Teamwork, Presentation Skills, Team Leadership, Arabic/French Bilingual, Microsoft Office, Strategic Planning, Communication, Critical Thinking, Conflict Resolution, Adaptability","{'English': 'Basic', 'German': 'Intermediate', 'Spanish': 'Basic'}","[{'degree': 'Licence', 'institution': 'University of Djelfa', 'field_of_study': 'courtier', 'start_year': 1986, 'end_year': 1989, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Benard Richard SARL High School', 'field_study': 'Science', 'start_year': 1983, 'end_year': 1986, 'grade': 'Very Good'}]","[{'company': 'Goncalves Bouchet S.A.R.L.', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Mining', 'start_date': '1997-12-21', 'end_date': 'Present', 'location': 'Aïn Témouchent', 'responsibilities': 'transition plug-and-play eyeballs, seize cross-platform methodologies, repurpose world-class bandwidth'}, {'company': 'Bourdon', 'job_title': 'General Director', 'department': 'Agronomy Research', 'sector': 'Agriculture', 'start_date': '1992-04-24', 'end_date': '1996-02-12', 'location': 'Algiers', 'responsibilities': 'morph back-end action-items, monetize interactive supply-chains'}, {'company': 'Reynaud', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Public Sector', 'start_date': '1988-03-10', 'end_date': '1991-11-23', 'location': 'Skikda', 'responsibilities': 'streamline open-source relationships, reinvent 24/365 metrics'}]",15
ممتاز,Male,1974-09-18,50,Laghouat,Higher Education,Education,Chief,22,Doctorat,Internship,CDI,"Report Writing, Team Leadership, Negotiation, Teamwork, Microsoft Office, Critical Thinking, Strategic Planning, Project Management, Presentation Skills, Conflict Resolution, Problem Solving, Arabic/French Bilingual","{'Spanish': 'Native', 'Arabic': 'Intermediate'}","[{'degree': 'Doctorat', 'institution': 'University of Tizi Ouzou', 'field_of_study': 'sellier', 'start_year': 1998, 'end_year': 2003, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Rey High School', 'field_study': 'Technical', 'start_year': 1990, 'end_year': 1993, 'grade': 'Average'}]","[{'company': 'Verdier Techer SA', 'job_title': 'Operations Manager', 'department': 'Higher Education', 'sector': 'Education', 'start_date': '2014-04-13', 'end_date': 'Present', 'location': 'Béchar', 'responsibilities': 'evolve strategic channels, aggregate interactive info-mediaries, reinvent holistic models'}, {'company': 'Bertrand', 'job_title': 'Department Director', 'department': 'Vocational Training', 'sector': 'Education', 'start_date': '2011-09-24', 'end_date': '2013-07-02', 'location': 'Adrar', 'responsibilities': 'empower global action-items, implement viral content'}, {'company': 'Chauveau', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Mining', 'start_date': '2008-02-17', 'end_date': '2010-10-26', 'location': 'Oran', 'responsibilities': 'productize back-end relationships, productize impactful technologies'}, {'company': 'Legros', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Transport & Logistics', 'start_date': '2005-07-28', 'end_date': '2007-08-24', 'location': 'Annaba', 'responsibilities': 'redefine strategic convergence, grow rich communities'}, {'company': 'Petit', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Renewable Energy', 'start_date': '2003-02-07', 'end_date': '2004-07-20', 'location': 'Ghardaïa', 'responsibilities': 're-contextualize dot-com schemas, disintermediate killer web-readiness'}, {'company': 'Pottier', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Mining', 'start_date': '1998-11-18', 'end_date': '2002-06-16', 'location': 'Adrar', 'responsibilities': 'matrix transparent bandwidth, aggregate 24/7 deliverables'}]",20
عبد الرّزاق,Male,1992-04-02,33,Jijel,General Management,Mining,Chief,9,Master,Part-Time,CDD,"Negotiation, Strategic Planning, Microsoft Office, Presentation Skills, Team Leadership, Critical Thinking, Report Writing, Problem Solving, Adaptability","{'German': 'Basic', 'Spanish': 'Native', 'French': 'Basic', 'English': 'Fluent'}","[{'degree': 'Master', 'institution': 'University of Oran', 'field_of_study': 'océanologue', 'start_year': 2013, 'end_year': 2015, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Schmitt S.A. High School', 'field_study': 'Mathematics', 'start_year': 2007, 'end_year': 2010, 'grade': 'Average'}]","[{'company': 'Hoarau Vaillant SARL', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Mining', 'start_date': '2019-07-25', 'end_date': 'Present', 'location': 'Batna', 'responsibilities': 'productize seamless action-items, iterate value-added convergence, embrace revolutionary info-mediaries'}]",17
عتيق,Female,1982-09-21,42,Batna,Research & Development,Education,Chief,20,Bac,Contract,CDD,"Team Leadership, Report Writing, Time Management, Project Management, Problem Solving, Adaptability, Negotiation, Communication, Microsoft Office, Conflict Resolution, Strategic Planning, Arabic/French Bilingual","{'Tamazight': 'Native', 'French': 'Native'}","[{'degree': 'Bac', 'institution': 'University of El Oued', 'field_of_study': 'chef de chantier', 'start_year': 2000, 'end_year': 2001, 'grade': 'Average'}]","[{'company': 'Sanchez Barthelemy SARL', 'job_title': 'Team Leader', 'department': 'Research & Development', 'sector': 'Education', 'start_date': '2014-06-27', 'end_date': 'Present', 'location': 'In Salah', 'responsibilities': 'disintermediate visionary schemas, reinvent collaborative relationships, monetize 24/7 niches'}, {'company': 'Bigot SARL', 'job_title': 'Administrative Manager', 'department': 'Irrigation Technology', 'sector': 'Agriculture', 'start_date': '2010-01-09', 'end_date': '2013-08-27', 'location': 'Adrar', 'responsibilities': 'productize granular networks, mesh out-of-the-box mindshare'}, {'company': 'Maurice', 'job_title': 'CISO', 'department': 'Cybersecurity', 'sector': 'Information Technology', 'start_date': '2005-04-16', 'end_date': '2009-11-03', 'location': 'Algiers', 'responsibilities': 'enhance end-to-end content, synergize interactive content'}, {'company': 'Hamon', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Tourism & Hospitality', 'start_date': '2002-12-12', 'end_date': '2004-06-13', 'location': 'Tébessa', 'responsibilities': 'revolutionize customized architectures, enable B2C e-markets'}]",12
مُتولي,Male,1991-11-07,33,Tamanrasset,General Management,Transport & Logistics,Junior,11,Bac,Internship,Alternance,"Presentation Skills, Time Management, Teamwork, Conflict Resolution, Problem Solving, Project Management, Report Writing, Microsoft Office, Team Leadership, Communication","{'Arabic': 'Native', 'French': 'Intermediate', 'Spanish': 'Native', 'English': 'Intermediate'}","[{'degree': 'Bac', 'institution': 'University of Algiers', 'field_of_study': 'ingénieur RD en énergies renouvelables', 'start_year': 2009, 'end_year': 2010, 'grade': 'Good'}]","[{'company': 'Diaz', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Transport & Logistics', 'start_date': '2019-03-02', 'end_date': 'Present', 'location': 'Béjaïa', 'responsibilities': 'disintermediate open-source bandwidth, generate cross-platform interfaces, implement visionary metrics'}, {'company': 'Allain', 'job_title': 'Department Director', 'department': 'Medical Equipment Maintenance', 'sector': 'Healthcare', 'start_date': '2015-10-08', 'end_date': '2018-04-01', 'location': 'Tlemcen', 'responsibilities': 'extend vertical experiences, mesh enterprise schemas'}]",12
عبد الملك,Male,2002-04-20,23,Béchar,General Management,Construction,Chief,1,Licence,Part-Time,CDD,"Teamwork, Strategic Planning, Communication, Problem Solving, Critical Thinking","{'French': 'Basic', 'German': 'Fluent', 'English': 'Intermediate', 'Spanish': 'Fluent'}","[{'degree': 'Licence', 'institution': 'University of Bejaia', 'field_of_study': 'caissier', 'start_year': 2020, 'end_year': 2023, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Weber Chauvin et Fils High School', 'field_study': 'Mathematics', 'start_year': 2017, 'end_year': 2020, 'grade': 'Average'}]","[{'company': 'Morin', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Construction', 'start_date': '2024-10-10', 'end_date': 'Present', 'location': ""M'sila"", 'responsibilities': 'mesh seamless initiatives, deploy best-of-breed communities, cultivate magnetic web services'}]",15
عارف,Male,1991-05-06,33,Béjaïa,General Management,Media & Entertainment,Senior,11,Bac,Part-Time,CDI,"Presentation Skills, Time Management, Report Writing, Project Management, Team Leadership, Communication, Problem Solving, Teamwork, Strategic Planning, Microsoft Office","{'French': 'Basic', 'English': 'Intermediate', 'Arabic': 'Fluent', 'Tamazight': 'Basic'}","[{'degree': 'Bac', 'institution': 'University of Mostaganem', 'field_of_study': 'économe de flux', 'start_year': 2009, 'end_year': 2010, 'grade': 'Average'}]","[{'company': 'Lelièvre', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Media & Entertainment', 'start_date': '2024-07-11', 'end_date': 'Present', 'location': 'Adrar', 'responsibilities': 'streamline viral functionalities, target 24/365 architectures, strategize B2B functionalities'}]",12
يونس,Male,1970-10-26,54,Tamanrasset,IT Support,Information Technology,Junior,32,Ingénieur d'État,Freelance,Stage,"Adaptability, Negotiation, Conflict Resolution, Report Writing, Teamwork, Problem Solving, Team Leadership, Critical Thinking, Presentation Skills, Arabic/French Bilingual, Project Management, Communication","{'Arabic': 'Fluent', 'English': 'Basic', 'French': 'Intermediate'}","[{'degree': ""Ingénieur d'État"", 'institution': 'University of Batna', 'field_of_study': 'réflexologue', 'start_year': 1991, 'end_year': 1994, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Legrand High School', 'field_study': 'Technical', 'start_year': 1986, 'end_year': 1989, 'grade': 'Excellent'}]","[{'company': 'Charrier S.A.', 'job_title': 'Service Desk Manager', 'department': 'IT Support', 'sector': 'Information Technology', 'start_date': '2002-01-09', 'end_date': 'Present', 'location': 'Annaba', 'responsibilities': 'unleash synergistic schemas, iterate transparent interfaces, cultivate distributed schemas'}, {'company': 'Leroy Payet SA', 'job_title': 'Department Director', 'department': 'Agronomy Research', 'sector': 'Agriculture', 'start_date': '1999-11-01', 'end_date': '2001-09-09', 'location': 'Adrar', 'responsibilities': 'engineer extensible channels, maximize extensible web services'}, {'company': 'Jacques', 'job_title': 'Infrastructure Manager', 'department': 'Cloud Infrastructure', 'sector': 'Information Technology', 'start_date': '1997-09-24', 'end_date': '1998-05-17', 'location': 'Béjaïa', 'responsibilities': 'embrace scalable paradigms, envisioneer world-class functionalities'}, {'company': 'Blondel S.A.R.L.', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Renewable Energy', 'start_date': '1994-06-09', 'end_date': '1996-12-23', 'location': 'Oran', 'responsibilities': 'evolve next-generation relationships, extend visionary technologies'}, {'company': 'Tanguy Berger S.A.R.L.', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'E-Commerce', 'start_date': '1989-07-13', 'end_date': '1993-03-24', 'location': 'Naama', 'responsibilities': 'drive holistic e-tailers, engage seamless e-tailers'}]",19
صدقي,Female,1984-07-09,40,Timimoun,Higher Education,Education,Mid,18,Licence,Internship,Stage,"Time Management, Strategic Planning, Arabic/French Bilingual, Report Writing, Presentation Skills, Microsoft Office, Communication, Critical Thinking, Conflict Resolution, Problem Solving, Team Leadership, Adaptability","{'Tamazight': 'Basic', 'French': 'Fluent'}","[{'degree': 'Licence', 'institution': 'University of Batna', 'field_of_study': 'contrôleur de performance', 'start_year': 2003, 'end_year': 2006, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Merle Charpentier S.A.S. High School', 'field_study': 'Mathematics', 'start_year': 2000, 'end_year': 2003, 'grade': 'Very Good'}]","[{'company': 'Lamy Guillet S.A.S.', 'job_title': 'Project Manager', 'department': 'Higher Education', 'sector': 'Education', 'start_date': '2021-08-06', 'end_date': 'Present', 'location': 'Ouargla', 'responsibilities': 'scale frictionless architectures, whiteboard plug-and-play applications, revolutionize clicks-and-mortar users'}, {'company': 'Jacob S.A.R.L.', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Construction', 'start_date': '2019-08-12', 'end_date': '2020-11-10', 'location': 'Béjaïa', 'responsibilities': 'streamline strategic schemas, repurpose value-added architectures'}, {'company': 'Maillet', 'job_title': 'General Director', 'department': 'Retail Banking', 'sector': 'Banking & Finance', 'start_date': '2014-01-17', 'end_date': '2018-09-24', 'location': 'El Oued', 'responsibilities': 'scale one-to-one supply-chains, brand viral users'}, {'company': 'Lemonnier et Fils', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Construction', 'start_date': '2012-11-23', 'end_date': '2013-06-01', 'location': 'Adrar', 'responsibilities': 'disintermediate collaborative architectures, disintermediate web-enabled ROI'}, {'company': 'Meyer', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Retail', 'start_date': '2007-01-15', 'end_date': '2011-04-09', 'location': 'Illizi', 'responsibilities': 'generate value-added vortals, productize sticky e-business'}, {'company': 'Dupuis', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Renewable Energy', 'start_date': '2002-06-13', 'end_date': '2006-09-28', 'location': 'Tamanrasset', 'responsibilities': 'maximize holistic functionalities, deliver leading-edge supply-chains'}]",15
