first_name,last_name,gender,birth_date,age,email,phone,address,city,current_job_title,department,sector,seniority_level,years_experience,highest_education,employment_type,contract_type,technical_skills,language_proficiency,current_salary_dzd,desired_salary_dzd,job_seeking_status,availability_date,social_media,education_history,work_history
Lorraine,Leroux,Male,1977-06-14,47,lorraine.leroux@gmail.com,+213280834437,"10, boulevard Frédéric Chevalier
34852 Cordier",Skikda,Administrative Manager,General Management,E-Commerce,Senior,25,Licence,Contract,CDI,"Time Management, Critical Thinking, Problem Solving, Presentation Skills, Communication, Teamwork, Team Leadership, Adaptability, Strategic Planning, Arabic/French Bilingual, Microsoft Office, Negotiation","{'French': 'Intermediate', 'Arabic': 'Fluent', 'English': 'Intermediate'}",180000,215000,Open to offers,2025-06-07,{},"[{'degree': 'Licence', 'institution': 'University of Setif', 'field_of_study': 'substitut du procureur', 'start_year': 1996, 'end_year': 1999, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Loiseau High School', 'field_study': 'Literature', 'start_year': 1993, 'end_year': 1996, 'grade': 'Good'}]","[{'company': 'Toussaint Teixeira SARL', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'E-Commerce', 'start_date': '2012-04-19', 'end_date': 'Present', 'description': 'Ancien armer arracher bientôt le. En trois sembler armer cour signer empire.', 'location': 'Béjaïa', 'achievements': 'En assister chaise ou troisième passer. Plan retourner esprit ainsi moyen.', 'responsibilities': 'morph dot-com systems, matrix revolutionary content, incubate collaborative action-items'}, {'company': 'Bernier', 'job_title': 'Operations Manager', 'department': 'Export Operations', 'sector': 'Agriculture', 'start_date': '2008-11-01', 'end_date': '2011-04-12', 'description': 'Remettre assez causer créer là. Frapper pousser remplir toujours.', 'location': 'Blida', 'achievements': 'السفن جُل لكون دأبوا منتصف سقطت ثمّة بالمحور.', 'responsibilities': 'transform next-generation e-tailers, architect vertical initiatives'}, {'company': 'Fabre Hervé S.A.R.L.', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Manufacturing', 'start_date': '2004-05-24', 'end_date': '2007-02-09', 'description': 'بكلا سابق الاندونيسية إذ.', 'location': 'Aïn Témouchent', 'achievements': 'قام بل بالرّد العدّ فسقط شعار.', 'responsibilities': 'synthesize world-class infrastructures, transition world-class paradigms'}, {'company': 'Legrand Dupont S.A.', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Public Sector', 'start_date': '1999-10-10', 'end_date': '2003-07-16', 'description': 'الذود لمّ مسؤولية نتيجة ان. الشّعبين وبعد بولم موالية مقاومة دفّة الشرق خطّة.', 'location': 'Djanet', 'achievements': 'Fleur aussi lumière du conclure.', 'responsibilities': 'architect magnetic communities, matrix open-source applications'}, {'company': 'Lejeune', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Pharmaceuticals', 'start_date': '1997-10-27', 'end_date': '1998-11-11', 'description': 'Prochain chasse papier mémoire marquer. Mettre avenir réveiller réserver banc.', 'location': 'Constantine', 'achievements': 'Officier ville tard autorité.', 'responsibilities': 'matrix global channels, incubate e-business info-mediaries'}, {'company': 'Leclerc', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Pharmaceuticals', 'start_date': '1995-10-18', 'end_date': '1996-05-08', 'description': 'لفشل الأثنان بإعمار واستمرت الأمريكية يذكر الضروري بدون.', 'location': 'Tamanrasset', 'achievements': 'جزيرتي بلاده إختار وصل ترتيب زهاء فرنسية وانتهاءً.', 'responsibilities': 'mesh sticky e-markets, brand extensible channels'}]"
صالح,Lefebvre,Female,1992-07-14,32,صالح.lefebvre@yahoo.com,+213241038075,"rue de Charrier
30222 Sainte AudreyVille",El Oued,Department Director,Food Processing,Agriculture,Chief,4,Doctorat,Full-Time,Freelance,"Time Management, Microsoft Office, Strategic Planning, Negotiation, Critical Thinking, Adaptability, Teamwork","{'Spanish': 'Basic', 'French': 'Fluent', 'Tamazight': 'Fluent', 'German': 'Fluent'}",312000,379000,Recently employed,,"{'linkedin': 'linkedin.com/in/صالح-lefebvre-445', 'facebook': 'facebook.com/صالح.lefebvre.74'}","[{'degree': 'Doctorat', 'institution': 'University of Boumerdes', 'field_of_study': 'سائق شاحنة', 'start_year': 2016, 'end_year': 2021, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'الحويطات Inc High School', 'field_study': 'Literature', 'start_year': 2008, 'end_year': 2011, 'grade': 'Average'}]","[{'company': 'مذحج Group', 'job_title': 'Department Director', 'department': 'Food Processing', 'sector': 'Agriculture', 'start_date': '2024-06-04', 'end_date': 'Present', 'description': 'تشكيل وبلجيكا بقسوة فقد. تصفح والفرنسي شدّت الحيلولة ومطالبة بيكن. السيطرة وقدّموا بتخصيص دأبوا وقبل.', 'location': 'Batna', 'achievements': 'Fait complètement selon. Prêt billet du pareil.', 'responsibilities': 'productize magnetic functionalities, implement distributed markets, transition leading-edge channels'}, {'company': 'قحطان, بلي and القلموني', 'job_title': 'Project Manager', 'department': 'Risk Analysis', 'sector': 'Banking & Finance', 'start_date': '2022-05-26', 'end_date': '2023-09-01', 'description': 'الآلاف حيث شرسة نتيجة بالشرقي الهادي شيء بدول.', 'location': 'Aïn Témouchent', 'achievements': 'Acte franchir colline demeurer.', 'responsibilities': 'optimize compelling bandwidth, whiteboard 24/365 vortals'}]"
Simone,بنو يعلى,Male,1965-07-23,59,simone.بنو يعلى@gmail.com,+213077691999,"74310 عمير Junctions Apt. 306
North نمر, AL 01995",Batna,Department Director,General Management,Retail,Lead,37,Ingénieur d'État,Freelance,Stage,"Report Writing, Communication, Time Management, Problem Solving, Arabic/French Bilingual, Negotiation, Adaptability, Teamwork, Conflict Resolution, Strategic Planning, Project Management, Presentation Skills","{'Tamazight': 'Intermediate', 'German': 'Fluent'}",281000,329000,Actively looking,2025-07-05,"{'linkedin': 'linkedin.com/in/simone-بنو يعلى-252', 'twitter': 'twitter.com/simoneب238'}","[{'degree': ""Ingénieur d'État"", 'institution': 'University of El Oued', 'field_of_study': 'موظف استقبال', 'start_year': 1986, 'end_year': 1989, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'المتولي, خزاعة and الألجاوي High School', 'field_study': 'Technical', 'start_year': 1981, 'end_year': 1984, 'grade': 'Average'}]","[{'company': 'المملوك, المفتي and جار الله', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Retail', 'start_date': '2013-12-08', 'end_date': 'Present', 'description': 'Étendre goutte exiger ville. Ainsi dehors muet. Impression aussitôt décider source occasion cuisine haut.', 'location': 'Timimoun', 'achievements': 'Intérieur maintenant principe connaissance. Corde falloir nu couche celui emporter.', 'responsibilities': 'revolutionize scalable e-business, incubate dynamic convergence, enhance out-of-the-box partnerships'}, {'company': 'Raymond S.A.R.L.', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Renewable Energy', 'start_date': '2011-02-25', 'end_date': '2012-04-17', 'description': 'وتتحمّل الشمل بفصل ماذا على بشكل الإثنان.', 'location': 'Aïn Témouchent', 'achievements': 'والإتحاد بحيث بوقامت يتعلّق.', 'responsibilities': 'envisioneer viral methodologies, evolve frictionless ROI'}, {'company': 'عبد اللطيف-زلاطيمو', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Transport & Logistics', 'start_date': '2006-09-07', 'end_date': '2010-03-24', 'description': 'Preuve rapporter oh suivre oeuvre en extraordinaire papier. Loup lettre dame.', 'location': 'Tindouf', 'achievements': 'الإتحاد جيوب ترتيب الموسوعة.', 'responsibilities': 'reinvent back-end methodologies, disintermediate dot-com relationships'}, {'company': 'العلمي-الهدمي', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Transport & Logistics', 'start_date': '2002-07-23', 'end_date': '2005-09-03', 'description': 'Demeurer côté simple âgé.', 'location': 'Aïn Témouchent', 'achievements': 'Seconde sang auprès occasion.', 'responsibilities': 'repurpose frictionless applications, envisioneer web-enabled web services'}, {'company': 'بتروني Ltd', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Tourism & Hospitality', 'start_date': '1997-05-25', 'end_date': '2001-11-05', 'description': 'لمّ طوكيو واندونيسيا ببعض وقد حول.', 'location': 'Skikda', 'achievements': 'بعدم وقام تاريخ مليارات الشمال التقليدية بإعمار لهذه.', 'responsibilities': 'streamline interactive experiences, leverage transparent networks'}, {'company': 'Legros', 'job_title': 'Administrative Manager', 'department': 'Sustainable Farming', 'sector': 'Agriculture', 'start_date': '1995-05-23', 'end_date': '1996-04-06', 'description': 'ساعة الحكومة مرجع لها معقل به الأثناء.', 'location': 'Skikda', 'achievements': 'بولندا الغالي بأسر اللا.', 'responsibilities': 'morph impactful interfaces, engage enterprise interfaces'}]"
Brigitte,عبد القيس,Male,2000-09-03,24,brigitte.عبد القيس@gmail.com,+213150681164,"11, boulevard de Valentin
64220 Potiernec",Aïn Témouchent,Operations Manager,General Management,Public Sector,Lead,0,Doctorat,Full-Time,Alternance,"Presentation Skills, Arabic/French Bilingual, Strategic Planning, Communication, Problem Solving","{'French': 'Basic', 'German': 'Intermediate', 'Arabic': 'Native', 'Spanish': 'Basic'}",198000,249000,Open to offers,2025-07-09,{},"[{'degree': 'Doctorat', 'institution': 'National Polytechnic School of Algiers', 'field_of_study': 'خياطة', 'start_year': 2024, 'end_year': 2029, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Labbé High School', 'field_study': 'Technical', 'start_year': 2016, 'end_year': 2019, 'grade': 'Good'}]","[{'company': 'Grégoire S.A.S.', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Public Sector', 'start_date': '2024-06-12', 'end_date': 'Present', 'description': 'Divers droite moitié prêt cour. Vue maison jeu public. Bras remplir pauvre clair partie.', 'location': 'Timimoun', 'achievements': 'Déclarer davantage sur marier genou répéter présent.', 'responsibilities': 'target collaborative experiences, engage customized mindshare, streamline viral metrics'}]"
Nathalie,أنمار,Female,1998-12-06,26,nathalie.أنمار@club-internet.fr,+213372945458,"0190 هوازن Mountain Apt. 447
زكيview, MI 68946",Timimoun,Facilities Manager,Operations,Manufacturing,Mid,0,Doctorat,Full-Time,Alternance,"Project Management, Strategic Planning, Presentation Skills, Negotiation, Time Management","{'English': 'Native', 'German': 'Fluent', 'Arabic': 'Basic', 'Spanish': 'Basic'}",213000,250000,Actively looking,2025-06-26,"{'linkedin': 'linkedin.com/in/nathalie-أنمار-439', 'facebook': 'facebook.com/nathalie.أنمار.20'}","[{'degree': 'Doctorat', 'institution': 'University of Djelfa', 'field_of_study': 'بواب', 'start_year': 2022, 'end_year': 2027, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'القلموني, طقش and غطفان High School', 'field_study': 'Technical', 'start_year': 2014, 'end_year': 2017, 'grade': 'Good'}]","[{'company': 'مضر-طقش', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Manufacturing', 'start_date': '2024-10-16', 'end_date': 'Present', 'description': 'Autre couche commencer état face tour acheter chute. Neuf on son français pourquoi cesser. Service agiter poursuivre musique fond musique ne sûr.', 'location': 'Naama', 'achievements': 'وتم الحكم حقول بالجوي اكتوبر الصين.', 'responsibilities': 'evolve rich web services, streamline B2C partnerships, maximize dot-com e-commerce'}]"
سلسبيل,Bernard,Female,1995-10-06,29,سلسبيل.bernard@hotmail.com,+213350662433,"891, avenue de Marchand
37237 Sainte Virginie",Constantine,Department Director,Export Operations,Agriculture,Junior,7,Licence,Contract,CDI,"Presentation Skills, Problem Solving, Project Management, Negotiation, Arabic/French Bilingual, Team Leadership, Time Management, Microsoft Office","{'Spanish': 'Intermediate', 'Tamazight': 'Native', 'English': 'Intermediate'}",70000,90000,Actively looking,2025-05-05,"{'linkedin': 'linkedin.com/in/سلسبيل-bernard-613', 'facebook': 'facebook.com/سلسبيل.bernard.45'}","[{'degree': 'Licence', 'institution': 'University of Algiers', 'field_of_study': ""conducteur d'engins forestiers de récolte en entreprises de travaux forestiers"", 'start_year': 2014, 'end_year': 2017, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'Bodin S.A. High School', 'field_study': 'Science', 'start_year': 2011, 'end_year': 2014, 'grade': 'Very Good'}]","[{'company': 'Hebert Prévost SA', 'job_title': 'Department Director', 'department': 'Export Operations', 'sector': 'Agriculture', 'start_date': '2020-08-01', 'end_date': 'Present', 'description': 'Blanc malheur environ puis rire. Souvenir lutte comme prêt douceur là. Moi souvent marier.', 'location': 'Tlemcen', 'achievements': 'Marcher maison cinquante mouvement couleur. Branche éteindre entrée lentement interroger note.', 'responsibilities': 'unleash end-to-end info-mediaries, architect 24/7 ROI, envisioneer out-of-the-box technologies'}, {'company': 'بنو ضمرة, الحسيني and قطينة', 'job_title': 'Team Leader', 'department': 'Medical Research', 'sector': 'Healthcare', 'start_date': '2017-02-18', 'end_date': '2019-02-19', 'description': 'مكن التحالف بالثالث الذود.', 'location': 'Mostaganem', 'achievements': 'Être atteindre aventure écraser représenter vision même terrain.', 'responsibilities': 'syndicate clicks-and-mortar vortals, exploit strategic ROI'}]"
Sylvie,بنو شيبان,Male,1972-08-06,52,sylvie.بنو شيبان@hotmail.com,+213178030300,"3495 ثروت Way
كاسرtown, WY 43389",Béjaïa,Project Manager,Research & Development,Education,Senior,30,Licence,Internship,CDI,"Strategic Planning, Critical Thinking, Report Writing, Presentation Skills, Team Leadership, Project Management, Conflict Resolution, Problem Solving, Microsoft Office, Arabic/French Bilingual, Adaptability, Time Management","{'Tamazight': 'Native', 'English': 'Fluent', 'German': 'Native'}",161000,202000,Not looking,,"{'linkedin': 'linkedin.com/in/sylvie-بنو شيبان-723', 'facebook': 'facebook.com/sylvie.بنو شيبان.96'}","[{'degree': 'Licence', 'institution': 'University of Chlef', 'field_of_study': 'نحات', 'start_year': 1991, 'end_year': 1994, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'عذرة-عنز بن وائل High School', 'field_study': 'Technical', 'start_year': 1988, 'end_year': 1991, 'grade': 'Average'}]","[{'company': 'اسطمبولي, الحواش and جار الله', 'job_title': 'Project Manager', 'department': 'Research & Development', 'sector': 'Education', 'start_date': '2002-12-02', 'end_date': 'Present', 'description': 'جديداً وإيطالي وسفن قِبل. بسبب اسبوعين فكان الخاسر بالمحور. أضف منتصف اتفاق تحرّكت الأجل.', 'location': 'Ouargla', 'achievements': 'يتعلّق لبلجيكا أمدها الله شيء.', 'responsibilities': 'innovate value-added portals, streamline compelling platforms, syndicate rich communities'}, {'company': 'غامد-فراهيد', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Pharmaceuticals', 'start_date': '2000-05-04', 'end_date': '2001-10-16', 'description': 'وباءت الولايات وجزر ومطالبة في المنتصر. يتم تحرّك يعبأ اعتداء.', 'location': 'Tizi Ouzou', 'achievements': 'سقوط الأول مسرح اللا يذكر هناك.', 'responsibilities': 'morph value-added channels, monetize virtual relationships'}, {'company': 'شمر Ltd', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Construction', 'start_date': '1995-06-05', 'end_date': '1999-08-28', 'description': 'Danger fidèle quinze main fort. Souvent preuve aucun.', 'location': 'Tindouf', 'achievements': 'Repousser engager vieil facile vendre.', 'responsibilities': 'transform synergistic systems, enable magnetic synergies'}, {'company': 'بنو معقل, عبد اللطيف and شهران', 'job_title': 'Operations Manager', 'department': 'Risk Analysis', 'sector': 'Banking & Finance', 'start_date': '1992-03-04', 'end_date': '1994-08-11', 'description': 'اعلان الفترة وانتهاءً هنا؟ بالمطالبة الجنرال مقاطعة. لأداء اليابان ودول مليارات بقد القوى.', 'location': 'Adrar', 'achievements': 'Ton centre heure droit finir satisfaire bataille.', 'responsibilities': 'harness front-end markets, utilize out-of-the-box technologies'}]"
Paul,الجاعوني,Male,1969-10-12,55,paul.الجاعوني@ifrance.com,+213720247671,"rue Marcel Fournier
36383 Leduc-la-Forêt",Skikda,Logistics Coordinator,Operations,Retail,Chief,33,Ingénieur d'État,Contract,Freelance,"Communication, Strategic Planning, Negotiation, Critical Thinking, Problem Solving, Presentation Skills, Project Management, Adaptability, Microsoft Office, Team Leadership, Teamwork, Time Management","{'German': 'Fluent', 'Arabic': 'Basic', 'Tamazight': 'Intermediate'}",322000,416000,Open to offers,2025-07-13,"{'linkedin': 'linkedin.com/in/paul-الجاعوني-570', 'facebook': 'facebook.com/paul.الجاعوني.39', 'twitter': 'twitter.com/paulا840'}","[{'degree': ""Ingénieur d'État"", 'institution': 'University of Djelfa', 'field_of_study': 'glaciologue', 'start_year': 1990, 'end_year': 1993, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Godard et Fils High School', 'field_study': 'Literature', 'start_year': 1985, 'end_year': 1988, 'grade': 'Good'}]","[{'company': 'Richard Perrin S.A.R.L.', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Retail', 'start_date': '2020-01-17', 'end_date': 'Present', 'description': 'بداية على وجهان المدن ماذا مليون بتطويق. جورج سابق تسمّى بهيئة عقبت عُقر يبق. جهة المجتمع عسكرياً جديداً وترك.', 'location': 'Jijel', 'achievements': 'الدمج تزامناً دنو وباءت انه ثانية والفرنسي.', 'responsibilities': 'reinvent seamless networks, strategize vertical supply-chains, synergize plug-and-play content'}, {'company': 'ابو الحاج-الهدمي', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Fisheries', 'start_date': '2017-05-07', 'end_date': '2019-09-10', 'description': 'Lisser trente éprouver. Douceur entourer sûr enfermer moi sou digne.', 'location': 'In Salah', 'achievements': 'وقام الفرنسية وحتّى إتفاقية بزمام بلا.', 'responsibilities': 'strategize value-added action-items, incubate revolutionary markets'}, {'company': 'Bruneau Le Gall S.A.', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Telecommunications', 'start_date': '2012-01-18', 'end_date': '2016-10-03', 'description': 'واقتصار ولاتّساع وشعار الهادي الولايات وبولندا بال. كثيرة الجنوب الأول نقطة العظمى.', 'location': 'Béjaïa', 'achievements': 'Humide cuisine frapper homme vide vieux.', 'responsibilities': 'aggregate granular partnerships, incubate cross-platform synergies'}, {'company': 'سبيع, الجبشة and الشايقية', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Retail', 'start_date': '2010-11-16', 'end_date': '2011-10-22', 'description': 'Inspirer anglais enfoncer extraordinaire payer maître.', 'location': 'Ghardaïa', 'achievements': 'Vide deviner faim accrocher parcourir seulement.', 'responsibilities': 'expedite B2C info-mediaries, streamline out-of-the-box ROI'}, {'company': 'القضماني Inc', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Manufacturing', 'start_date': '2007-10-01', 'end_date': '2009-01-15', 'description': 'Enfance faveur franchir enfermer. Auquel homme tranquille nuit accorder ne mince.', 'location': 'Jijel', 'achievements': 'لكل الإقتصادي الأثنان أراض استعملت.', 'responsibilities': 'target customized technologies, expedite e-business solutions'}, {'company': 'Ollivier Cousin S.A.R.L.', 'job_title': 'Field Operations Manager', 'department': 'Exploration & Production', 'sector': 'Energy & Petroleum', 'start_date': '2003-12-04', 'end_date': '2006-09-27', 'description': 'الثالث الا بتخصيص الصعداء.', 'location': 'Tizi Ouzou', 'achievements': 'Course ensemble son nuit maladie.', 'responsibilities': 'streamline strategic infrastructures, engineer one-to-one supply-chains'}]"
Tristan,جزيني,Female,1992-08-01,32,tristan.جزيني@gmail.com,+213031138028,"60, rue de Chevallier
58716 Saint Micheldan",Tindouf,Production Supervisor,Operations,Transport & Logistics,Chief,10,Ingénieur d'État,Contract,Freelance,"Adaptability, Critical Thinking, Arabic/French Bilingual, Report Writing, Team Leadership, Teamwork, Time Management, Conflict Resolution, Strategic Planning, Project Management","{'French': 'Intermediate', 'German': 'Basic', 'Tamazight': 'Basic'}",250000,282000,Actively looking,2025-05-13,{'linkedin': 'linkedin.com/in/tristan-جزيني-912'},"[{'degree': ""Ingénieur d'État"", 'institution': 'University of Chlef', 'field_of_study': 'ingénieur du son', 'start_year': 2013, 'end_year': 2016, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'بنو الأحمر بن الحارث, المهرة and جزار High School', 'field_study': 'Mathematics', 'start_year': 2008, 'end_year': 2011, 'grade': 'Good'}]","[{'company': 'Hernandez SA', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Transport & Logistics', 'start_date': '2020-08-10', 'end_date': 'Present', 'description': 'Ça vin dix. Car prière autour jouer lieu.', 'location': 'Tindouf', 'achievements': 'Article événement ici peser vêtir gloire reconnaître.', 'responsibilities': 're-contextualize granular applications, cultivate proactive portals, morph value-added mindshare'}, {'company': 'Lebreton', 'job_title': 'Department Director', 'department': 'Vocational Training', 'sector': 'Education', 'start_date': '2016-05-28', 'end_date': '2019-12-10', 'description': 'وجهان واُسدل بلاده التكاليف الله بوابة ما. الانجليزية المنتصر استمرار ولكسمبورغ فقد أم الدول.', 'location': 'Algiers', 'achievements': 'وبدأت تسمّى علاقة الإمتعاض الكونجرس أراضي.', 'responsibilities': 'repurpose collaborative networks, re-intermediate e-business e-commerce'}, {'company': 'الموسوس, عذرة and مراد', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Pharmaceuticals', 'start_date': '2014-04-02', 'end_date': '2015-09-14', 'description': 'Achever penser coup bataille. Faible prévenir milieu boire.', 'location': 'Tindouf', 'achievements': 'Libre terreur ensemble exiger mort.', 'responsibilities': 'benchmark global interfaces, seize real-time initiatives'}, {'company': 'Voisin', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Aerospace & Defense', 'start_date': '2012-08-25', 'end_date': '2013-11-13', 'description': 'تجهيز والإتحاد لكون مارد الإثنان البرية.', 'location': 'Ghardaïa', 'achievements': 'Reposer tout interroger jouer souvenir jamais.', 'responsibilities': 'cultivate revolutionary schemas, transition transparent web services'}]"
عبد الشّكور,مضر,Male,1990-06-02,34,عبد الشّكور.مضر@gmail.com,+213584637797,"027 البقوم Plains
Port طيّب, OH 60217",Timimoun,Department Director,General Management,Pharmaceuticals,Mid,6,Doctorat,Part-Time,Stage,"Adaptability, Communication, Team Leadership, Arabic/French Bilingual, Strategic Planning, Teamwork, Project Management, Report Writing","{'English': 'Basic', 'French': 'Basic', 'German': 'Basic', 'Spanish': 'Fluent'}",147000,173000,Recently employed,,{'facebook': 'facebook.com/عبد الشّكور.مضر.20'},"[{'degree': 'Doctorat', 'institution': 'University of Skikda', 'field_of_study': 'خادمة', 'start_year': 2014, 'end_year': 2019, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Bourgeois Sauvage S.A.R.L. High School', 'field_study': 'Mathematics', 'start_year': 2006, 'end_year': 2009, 'grade': 'Very Good'}]","[{'company': 'جودة PLC', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Pharmaceuticals', 'start_date': '2021-10-20', 'end_date': 'Present', 'description': ""Fixer ah qualité minute. Toit veiller entendre l'un maître nouveau. Véritable silence honneur maintenant intéresser reculer propos."", 'location': 'Saïda', 'achievements': 'التقليدية أخر إنطلاق جنوب. وبدون بجسيمة ذلك الأمريكية الآخر نهاية.', 'responsibilities': 'implement strategic networks, productize customized bandwidth, repurpose user-centric bandwidth'}, {'company': 'القواسم, البيسار القعقور and المنتفق', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Media & Entertainment', 'start_date': '2018-06-27', 'end_date': '2020-08-19', 'description': 'Seconde oreille battre naturel fond soleil. Rire état presque habitude sourd décider prendre.', 'location': 'Jijel', 'achievements': 'Animer dire veille sourire folie ensuite.', 'responsibilities': 'monetize best-of-breed architectures, seize holistic initiatives'}]"
Marthe,بني رشيد,Female,1982-10-18,42,marthe.بني رشيد@yahoo.com,+213572591048,"rue Delattre
30957 Saint HonoréBourg",Tizi Ouzou,Project Manager,General Management,Telecommunications,Mid,18,Master,Part-Time,Alternance,"Critical Thinking, Negotiation, Time Management, Adaptability, Teamwork, Conflict Resolution, Arabic/French Bilingual, Team Leadership, Project Management, Presentation Skills, Problem Solving, Strategic Planning","{'Tamazight': 'Fluent', 'French': 'Native'}",144000,160000,Actively looking,2025-07-11,{'linkedin': 'linkedin.com/in/marthe-بني رشيد-568'},"[{'degree': 'Master', 'institution': 'University of Oran', 'field_of_study': 'botaniste', 'start_year': 2004, 'end_year': 2006, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Daniel High School', 'field_study': 'Science', 'start_year': 1998, 'end_year': 2001, 'grade': 'Excellent'}]","[{'company': 'بنو ضمرة PLC', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Telecommunications', 'start_date': '2018-01-11', 'end_date': 'Present', 'description': 'Militaire coup sueur rendre haut. À dur succès tache défaut.', 'location': 'Tindouf', 'achievements': 'Tantôt rocher leur obtenir île.', 'responsibilities': 'maximize cutting-edge convergence, grow back-end e-markets, benchmark holistic channels'}, {'company': 'Marty', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Tourism & Hospitality', 'start_date': '2014-05-10', 'end_date': '2017-03-09', 'description': 'ضمنها الربيع تم يعبأ.', 'location': 'Mostaganem', 'achievements': 'التاريخ بكلا ويعزى ببه للجزر.', 'responsibilities': 'brand seamless markets, transition revolutionary interfaces'}, {'company': 'Garcia', 'job_title': 'Department Director', 'department': 'Risk Analysis', 'sector': 'Banking & Finance', 'start_date': '2011-02-22', 'end_date': '2013-08-20', 'description': 'Satisfaire calme rapidement nourrir rouge chair absolu.', 'location': 'Tlemcen', 'achievements': 'والديون فصل مليارات ٢٠٠٤ الخارجية واحدة فشكّل.', 'responsibilities': 'optimize B2C models, cultivate out-of-the-box e-tailers'}, {'company': 'Laroche', 'job_title': 'Administrative Manager', 'department': 'Agronomy Research', 'sector': 'Agriculture', 'start_date': '2006-09-09', 'end_date': '2010-07-27', 'description': 'Instant confier marier éclairer tache dessiner président. Oreille expérience vieux.', 'location': 'Laghouat', 'achievements': 'Naissance ça autour mari.', 'responsibilities': 'enhance B2C e-tailers, e-enable efficient relationships'}]"
نافذ,Valentin,Female,1971-08-30,53,نافذ.valentin@yahoo.fr,+213360635278,"057 كافور Garden Suite 857
هدىberg, TX 27902",Sétif,Operations Manager,Operations,Telecommunications,Lead,31,Bac,Freelance,CDI,"Teamwork, Conflict Resolution, Strategic Planning, Negotiation, Team Leadership, Time Management, Arabic/French Bilingual, Adaptability, Project Management, Critical Thinking, Problem Solving, Communication","{'Spanish': 'Fluent', 'English': 'Fluent'}",143000,181000,Recently employed,,{},"[{'degree': 'Bac', 'institution': 'University of Djelfa', 'field_of_study': 'مكوى', 'start_year': 1989, 'end_year': 1990, 'grade': 'Excellent'}]","[{'company': 'Mahe SA', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Telecommunications', 'start_date': '2000-07-15', 'end_date': 'Present', 'description': 'تصرّف عسكرياً بولاتّساع الفترة ومحاولة. الجنوب إستعمل وتزويده ونتج بتخصيص كانتا الأوروبي. بمباركة وقوعها الإحتفاظ سبتمبر الإيطالية مواقعها الشتاء.', 'location': 'Laghouat', 'achievements': 'On maintenant répéter deviner passé réalité cesse.', 'responsibilities': 'optimize bleeding-edge deliverables, optimize 24/7 action-items, unleash one-to-one systems'}, {'company': 'المنتفق, هوازن and يافع', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Fisheries', 'start_date': '1998-11-15', 'end_date': '1999-08-25', 'description': 'Secret prince sous haut sentiment type sable. Haut autrefois ici propos autant.', 'location': 'Timimoun', 'achievements': 'Plante encore histoire fumée nouveau vision nourrir rester.', 'responsibilities': 'leverage B2B relationships, orchestrate best-of-breed models'}]"
