employee_id,name,age,gender,job_title,department,experience_years,current_salary_dzd,job_posting_id
EMP0012-1,Nadia Fekih,58,Male,INFOGRAPHE,Services,7,58122,JOB0012
EMP0012-2,Sofiane Bouzid,40,Male,INFOGRAPHE,Services,5,61396,JOB0012
EMP0013-1,Youssef Chikhi,30,Other,Sales Représentative,"Informatique, Télécom, Internet",6,66570,JOB0013
EMP0013-2,Ahmed Chikhi,29,Male,Sales Représentative,"Informatique, Télécom, Internet",2,72846,JOB0013
EMP0013-3,Sara Amrani,36,Female,Sales Représentative,"Informatique, Télécom, Internet",4,58683,JOB0013
EMP0013-4,Sofiane Khelifi,44,Other,Sales Représentative,"Informatique, Télécom, Internet",1,66846,JOB0013
EMP0014-1,Fatima Fekih,39,Other,Merchandiser ( Bejaia ),Industries,4,68369,JOB0014
EMP0015-1,Amina Khelifi,59,Male,Commercial itinérant,"Informatique, Télécom, Internet",5,78017,JOB0015
EMP0015-2,Amina Amrani,60,Female,Commercial itinérant,"Informatique, Télécom, Internet",5,61788,JOB0015
EMP0015-3,Ahmed Chikhi,34,Other,Commercial itinérant,"Informatique, Télécom, Internet",7,72398,JOB0015
EMP0015-4,Nour Amrani,22,Male,Commercial itinérant,"Informatique, Télécom, Internet",6,57818,JOB0015
EMP0015-5,Youssef Benaissa,55,Female,Commercial itinérant,"Informatique, Télécom, Internet",4,56709,JOB0015
EMP0016-1,Sara Fekih,56,Other,Commercial,Services,1,62159,JOB0016
EMP0017-1,Zineb Benaissa,39,Female,RESPONSABLE DE PRODUCTION,Industries,7,63796,JOB0017
EMP0018-1,Leila Bouzid,29,Other,Guichetier Payeur CDD (H-F) Agence Souk Ahras,"Banque, Assurance, Finance",1,25793,JOB0018
EMP0018-2,Ahmed Benaissa,36,Other,Guichetier Payeur CDD (H-F) Agence Souk Ahras,"Banque, Assurance, Finance",2,31285,JOB0018
EMP0018-3,Karim Chikhi,56,Other,Guichetier Payeur CDD (H-F) Agence Souk Ahras,"Banque, Assurance, Finance",0,30648,JOB0018
EMP0019-1,Yasmine Benaissa,48,Female,Responsable Bureau d'étude mécanique,Services,9,82404,JOB0019
EMP0019-2,Mohamed Zitouni,25,Other,Responsable Bureau d'étude mécanique,Services,4,62966,JOB0019
EMP0020-1,Sabrina Guedira,26,Male,FINANCIER,"Distribution, Commerce",4,64923,JOB0020
EMP0021-1,Ahmed Zitouni,26,Other,RECEPTIONNISTE,"Distribution, Commerce",1,73068,JOB0021
EMP0021-2,Fatima Amrani,51,Other,RECEPTIONNISTE,"Distribution, Commerce",5,50933,JOB0021
EMP0021-3,Samir Fekih,46,Female,RECEPTIONNISTE,"Distribution, Commerce",7,72109,JOB0021
EMP0021-4,Omar Derbal,46,Male,RECEPTIONNISTE,"Distribution, Commerce",4,60174,JOB0021
EMP0022-1,Ahmed Saadi,51,Male,Opérateur,Industries,4,61830,JOB0022
EMP0022-2,Sabrina Khelifi,36,Other,Opérateur,Industries,2,57612,JOB0022
EMP0022-3,Samir Khelifi,24,Other,Opérateur,Industries,0,49736,JOB0022
EMP0023-1,Rachid Benaissa,47,Female,Infographiste Débutant,"Informatique, Télécom, Internet",0,62076,JOB0023
EMP0023-2,Leila Fekih,24,Other,Infographiste Débutant,"Informatique, Télécom, Internet",1,51163,JOB0023
EMP0023-3,Omar Saadi,36,Other,Infographiste Débutant,"Informatique, Télécom, Internet",0,64222,JOB0023
EMP0023-4,Meriem Derbal,45,Male,Infographiste Débutant,"Informatique, Télécom, Internet",1,69083,JOB0023
EMP0024-1,Sara Khelifi,46,Male,Architecte Designer 3D,Industries,0,65401,JOB0024
EMP0024-2,Youssef Saadi,55,Female,Architecte Designer 3D,Industries,3,60571,JOB0024
EMP0024-3,Sabrina Saadi,23,Other,Architecte Designer 3D,Industries,3,68324,JOB0024
EMP0024-4,Sara Fekih,53,Other,Architecte Designer 3D,Industries,2,74036,JOB0024
EMP0024-5,Karim Khelifi,24,Female,Architecte Designer 3D,Industries,1,70256,JOB0024
EMP0025-1,Ahmed Khelifi,58,Other,Standardiste,"Informatique, Télécom, Internet",6,55157,JOB0025
EMP0025-2,Sofiane Zitouni,51,Male,Standardiste,"Informatique, Télécom, Internet",6,54009,JOB0025
EMP0026-1,Yasmine Fekih,28,Female,Opérateur de machine,Services,3,62535,JOB0026
EMP0026-2,Oussama Bouzid,46,Male,Opérateur de machine,Services,1,69054,JOB0026
EMP0026-3,Sabrina Benaissa,48,Other,Opérateur de machine,Services,2,65726,JOB0026
EMP0027-1,Sabrina Chikhi,53,Male,Conseillers Commerciaux,"BTP, Construction, Immobilier",1,57744,JOB0027
EMP0027-2,Nadia Saadi,42,Male,Conseillers Commerciaux,"BTP, Construction, Immobilier",3,66756,JOB0027
EMP0027-3,Omar Khelifi,23,Female,Conseillers Commerciaux,"BTP, Construction, Immobilier",4,67417,JOB0027
EMP0027-4,Samir Bouzid,58,Female,Conseillers Commerciaux,"BTP, Construction, Immobilier",3,71027,JOB0027
EMP0028-1,Meriem Benaissa,24,Female,Traducteur/trice  Interprete Chinois Arab Français,"BTP, Construction, Immobilier",6,72156,JOB0028
EMP0028-2,Zineb Bouzid,35,Female,Traducteur/trice  Interprete Chinois Arab Français,"BTP, Construction, Immobilier",7,65266,JOB0028
EMP0029-1,Youssef Fekih,46,Other,Délégué(e) médico-commercial(e),Services,6,58062,JOB0029
EMP0029-2,Meriem Guedira,41,Male,Délégué(e) médico-commercial(e),Services,6,69705,JOB0029
EMP0029-3,Meriem Saadi,27,Female,Délégué(e) médico-commercial(e),Services,6,64590,JOB0029
EMP0030-1,Fatima Khelifi,37,Female,Dessinateur Projeteur,"Energie, Mines, Matière Première",0,65400,JOB0030
EMP0030-2,Mohamed Saadi,57,Other,Dessinateur Projeteur,"Energie, Mines, Matière Première",1,64133,JOB0030
EMP0030-3,Mohamed Amrani,28,Other,Dessinateur Projeteur,"Energie, Mines, Matière Première",2,48425,JOB0030
EMP0031-1,Omar Guedira,49,Other,Stagiaire,Industries,2,59656,JOB0031
EMP0031-2,Nadia Chikhi,46,Male,Stagiaire,Industries,1,68353,JOB0031
EMP0031-3,Fatima Saadi,58,Male,Stagiaire,Industries,2,61600,JOB0031
EMP0031-4,Nour Saadi,52,Male,Stagiaire,Industries,1,62512,JOB0031
EMP0031-5,Ahmed Chikhi,25,Female,Stagiaire,Industries,0,75957,JOB0031
EMP0032-1,Sara Guedira,46,Male,Ingénieur Qualité (QMRS),Services,0,73127,JOB0032
EMP0033-1,Nadia Derbal,40,Female,عمال إنتاج ( نساء و رجال ),Industries,4,48049,JOB0033
EMP0033-2,Amina Chikhi,58,Female,عمال إنتاج ( نساء و رجال ),Industries,2,53395,JOB0033
EMP0033-3,Samir Guedira,52,Female,عمال إنتاج ( نساء و رجال ),Industries,1,59526,JOB0033
EMP0033-4,Sabrina Khelifi,58,Female,عمال إنتاج ( نساء و رجال ),Industries,1,44942,JOB0033
EMP0034-1,Laila Khelifi,41,Female,Téléconseillers,Services,2,63535,JOB0034
EMP0034-2,Samir Saadi,56,Other,Téléconseillers,Services,2,73057,JOB0034
EMP0034-3,Leila Guedira,53,Female,Téléconseillers,Services,5,60699,JOB0034
EMP0035-1,Yasmine Zitouni,49,Male,Technico Commercial,Industries,4,76811,JOB0035
EMP0035-2,Laila Fekih,35,Other,Technico Commercial,Industries,4,73974,JOB0035
EMP0036-1,Laila Guedira,56,Other,directeur industriel,Industries,13,83658,JOB0036
EMP0036-2,Leila Chikhi,27,Female,directeur industriel,Industries,9,84304,JOB0036
EMP0037-1,Yasmine Bouzid,60,Female,"Chargé(e) de rémunération, de la performance et de la gestion de la paie",Industries,2,68302,JOB0037
EMP0037-2,Oussama Benaissa,48,Other,"Chargé(e) de rémunération, de la performance et de la gestion de la paie",Industries,3,71489,JOB0037
EMP0037-3,Youssef Bouzid,30,Male,"Chargé(e) de rémunération, de la performance et de la gestion de la paie",Industries,3,62397,JOB0037
EMP0037-4,Rachid Fekih,54,Male,"Chargé(e) de rémunération, de la performance et de la gestion de la paie",Industries,4,59104,JOB0037
EMP0037-5,Ahmed Saadi,32,Female,"Chargé(e) de rémunération, de la performance et de la gestion de la paie",Industries,7,54342,JOB0037
EMP0038-1,Sofiane Guedira,39,Female,Vendeuse/eur ,"Distribution, Commerce",0,67823,JOB0038
EMP0038-2,Sofiane Zitouni,59,Male,Vendeuse/eur ,"Distribution, Commerce",4,65084,JOB0038
EMP0039-1,Ahmed Chikhi,59,Other,Ingenieur electricite,"Energie, Mines, Matière Première",6,62080,JOB0039
EMP0039-2,Youssef Amrani,52,Female,Ingenieur electricite,"Energie, Mines, Matière Première",4,80924,JOB0039
EMP0039-3,Sofiane Zitouni,28,Other,Ingenieur electricite,"Energie, Mines, Matière Première",3,59780,JOB0039
EMP0039-4,Rachid Amrani,41,Female,Ingenieur electricite,"Energie, Mines, Matière Première",6,77139,JOB0039
EMP0040-1,Zineb Benaissa,39,Female,CADRE FINANCIER,"Distribution, Commerce",1,73626,JOB0040
EMP0040-2,Sara Guedira,57,Male,CADRE FINANCIER,"Distribution, Commerce",5,52629,JOB0040
EMP0041-1,Samir Amrani,51,Other,Cadre d'études Approvisionnements,"Energie, Mines, Matière Première",0,61917,JOB0041
EMP0041-2,Mohamed Bouzid,56,Female,Cadre d'études Approvisionnements,"Energie, Mines, Matière Première",3,72002,JOB0041
EMP0041-3,Rachid Saadi,33,Male,Cadre d'études Approvisionnements,"Energie, Mines, Matière Première",4,66260,JOB0041
EMP0041-4,Ahmed Derbal,41,Female,Cadre d'études Approvisionnements,"Energie, Mines, Matière Première",2,68829,JOB0041
EMP0041-5,Omar Benaissa,44,Female,Cadre d'études Approvisionnements,"Energie, Mines, Matière Première",2,65300,JOB0041
EMP0042-1,Yasmine Khelifi,27,Male,développeur en informatique,"Informatique, Télécom, Internet",4,63653,JOB0042
EMP0042-2,Leila Benaissa,25,Male,développeur en informatique,"Informatique, Télécom, Internet",2,74454,JOB0042
EMP0043-1,Amina Derbal,52,Female,Ingénieur Mécanique piping,"Energie, Mines, Matière Première",3,64607,JOB0043
EMP0044-1,Yasmine Khelifi,41,Female,Ingénieur Instrumentation,"Energie, Mines, Matière Première",1,82134,JOB0044
EMP0044-2,Yasmine Chikhi,27,Other,Ingénieur Instrumentation,"Energie, Mines, Matière Première",7,57043,JOB0044
EMP0044-3,Samir Saadi,59,Other,Ingénieur Instrumentation,"Energie, Mines, Matière Première",4,58655,JOB0044
EMP0044-4,Yasmine Fekih,37,Male,Ingénieur Instrumentation,"Energie, Mines, Matière Première",1,72154,JOB0044
EMP0044-5,Samir Fekih,57,Female,Ingénieur Instrumentation,"Energie, Mines, Matière Première",3,69005,JOB0044
EMP0045-1,Oussama Benaissa,42,Female,Driver acquisition agent,"Informatique, Télécom, Internet",0,72605,JOB0045
EMP0045-2,Nour Derbal,30,Other,Driver acquisition agent,"Informatique, Télécom, Internet",1,55952,JOB0045
EMP0045-3,Mohamed Bouzid,50,Other,Driver acquisition agent,"Informatique, Télécom, Internet",0,67233,JOB0045
EMP0046-1,Amina Chikhi,53,Female,SOUDEURS BAGUETTES,"BTP, Construction, Immobilier",4,51543,JOB0046
EMP0047-1,Sabrina Benaissa,58,Other,Ingénieur Process (raffinage),"Energie, Mines, Matière Première",5,81409,JOB0047
EMP0047-2,Sofiane Derbal,41,Other,Ingénieur Process (raffinage),"Energie, Mines, Matière Première",6,71209,JOB0047
EMP0048-1,Karim Khelifi,57,Female,Comptable,Industries,4,71786,JOB0048
EMP0048-2,Oussama Saadi,56,Female,Comptable,Industries,1,69052,JOB0048
EMP0049-1,Rachid Saadi,48,Female,Ingénieur Procurement,"Energie, Mines, Matière Première",7,63041,JOB0049
EMP0049-2,Nadia Fekih,31,Female,Ingénieur Procurement,"Energie, Mines, Matière Première",7,54511,JOB0049
EMP0049-3,Amina Benaissa,51,Female,Ingénieur Procurement,"Energie, Mines, Matière Première",4,69921,JOB0049
EMP0049-4,Sara Guedira,29,Female,Ingénieur Procurement,"Energie, Mines, Matière Première",0,56592,JOB0049
EMP0049-5,Nour Guedira,25,Female,Ingénieur Procurement,"Energie, Mines, Matière Première",0,55819,JOB0049
EMP0050-1,Nour Amrani,42,Other,Chargé(e) d’Études Senior en Marketing,"Informatique, Télécom, Internet",12,38746,JOB0050
EMP0051-1,Youssef Saadi,33,Male,,Industries,2,25848,JOB0051
EMP0051-2,Omar Saadi,36,Male,,Industries,2,33273,JOB0051
EMP0052-1,Leila Saadi,58,Other,VENDEUSE -  MAGASIN DE LINGE,Services,2,39373,JOB0052
EMP0052-2,Mohamed Benaissa,23,Female,VENDEUSE -  MAGASIN DE LINGE,Services,7,33847,JOB0052
EMP0052-3,Mohamed Bouzid,52,Male,VENDEUSE -  MAGASIN DE LINGE,Services,4,30912,JOB0052
EMP0053-1,Karim Guedira,44,Other,Retail Credit Administration Officer,"Banque, Assurance, Finance",3,81127,JOB0053
EMP0053-2,Ahmed Chikhi,37,Other,Retail Credit Administration Officer,"Banque, Assurance, Finance",4,79939,JOB0053
EMP0053-3,Nour Amrani,55,Other,Retail Credit Administration Officer,"Banque, Assurance, Finance",3,61662,JOB0053
EMP0053-4,Yasmine Benaissa,29,Male,Retail Credit Administration Officer,"Banque, Assurance, Finance",4,73212,JOB0053
EMP0053-5,Sara Zitouni,22,Female,Retail Credit Administration Officer,"Banque, Assurance, Finance",1,78273,JOB0053
EMP0054-1,Leila Bouzid,37,Male,Agent Polyvalent,Services,1,28576,JOB0054
EMP0054-2,Yasmine Bouzid,27,Female,Agent Polyvalent,Services,1,35217,JOB0054
EMP0054-3,Ahmed Chikhi,59,Male,Agent Polyvalent,Services,7,40049,JOB0054
EMP0054-4,Youssef Saadi,49,Female,Agent Polyvalent,Services,1,38964,JOB0054
EMP0054-5,Omar Bouzid,45,Female,Agent Polyvalent,Services,4,35833,JOB0054
EMP0055-1,Leila Chikhi,43,Male,Assistante de direction et administrative,Services,7,71827,JOB0055
EMP0055-2,Zineb Saadi,30,Female,Assistante de direction et administrative,Services,4,49290,JOB0055
EMP0055-3,Leila Chikhi,40,Female,Assistante de direction et administrative,Services,1,57383,JOB0055
EMP0055-4,Oussama Guedira,23,Male,Assistante de direction et administrative,Services,7,72202,JOB0055
EMP0056-1,Fatima Khelifi,50,Male,Directeur des Lignes,Services,7,78626,JOB0056
EMP0056-2,Rachid Derbal,22,Male,Directeur des Lignes,Services,16,66289,JOB0056
EMP0056-3,Nadia Fekih,30,Male,Directeur des Lignes,Services,15,81865,JOB0056
EMP0056-4,Amina Benaissa,41,Other,Directeur des Lignes,Services,7,86675,JOB0056
EMP0057-1,Karim Bouzid,59,Other,Responsable Commercial,Services,13,63879,JOB0057
EMP0057-2,Zineb Benaissa,31,Other,Responsable Commercial,Services,7,58846,JOB0057
EMP0058-1,Laila Chikhi,56,Other,Chef de ligne des passagers,Services,10,64752,JOB0058
EMP0058-2,Leila Amrani,32,Female,Chef de ligne des passagers,Services,5,77241,JOB0058
EMP0058-3,Sofiane Benaissa,45,Other,Chef de ligne des passagers,Services,11,55724,JOB0058
EMP0058-4,Omar Guedira,50,Other,Chef de ligne des passagers,Services,11,59162,JOB0058
EMP0058-5,Nadia Guedira,40,Female,Chef de ligne des passagers,Services,8,59883,JOB0058
EMP0059-1,Yasmine Bouzid,29,Male,Merchandiser ( TLEMCEN),"Distribution, Commerce",4,60268,JOB0059
EMP0059-2,Laila Chikhi,47,Male,Merchandiser ( TLEMCEN),"Distribution, Commerce",2,56288,JOB0059
EMP0059-3,Nour Derbal,38,Female,Merchandiser ( TLEMCEN),"Distribution, Commerce",2,54553,JOB0059
EMP0060-1,Zineb Saadi,33,Female,Merchandiser (  Mila),"Distribution, Commerce",4,66387,JOB0060
EMP0060-2,Sabrina Chikhi,49,Female,Merchandiser (  Mila),"Distribution, Commerce",1,65857,JOB0060
EMP0060-3,Sofiane Guedira,41,Female,Merchandiser (  Mila),"Distribution, Commerce",1,65211,JOB0060
EMP0061-1,Sabrina Benaissa,46,Female,Directeur Technique et de Production de l’Unité de Carrelage,Industries,6,80806,JOB0061
EMP0062-1,Samir Saadi,58,Other,Performance Technology & Corporate Administrator,"Informatique, Télécom, Internet",5,56513,JOB0062
EMP0063-1,Sofiane Guedira,45,Male,Chargée de l’Administration des Ventes (ADV),Services,0,65598,JOB0063
EMP0063-2,Oussama Derbal,32,Male,Chargée de l’Administration des Ventes (ADV),Services,4,58034,JOB0063
EMP0063-3,Rachid Zitouni,29,Male,Chargée de l’Administration des Ventes (ADV),Services,3,67511,JOB0063
EMP0063-4,Sabrina Chikhi,28,Male,Chargée de l’Administration des Ventes (ADV),Services,4,46771,JOB0063
EMP0064-1,Leila Saadi,36,Male,Chargé de la logistique,Industries,7,65708,JOB0064
EMP0064-2,Sabrina Chikhi,23,Male,Chargé de la logistique,Industries,6,60035,JOB0064
EMP0064-3,Mohamed Saadi,31,Female,Chargé de la logistique,Industries,1,75479,JOB0064
EMP0064-4,Karim Khelifi,31,Male,Chargé de la logistique,Industries,4,57929,JOB0064
EMP0065-1,Amina Saadi,30,Male,Responsable communication et évenementiel,Industries,9,73105,JOB0065
EMP0066-1,Nadia Amrani,34,Female,Responsable Développement RH,Industries,9,66631,JOB0066
EMP0066-2,Meriem Zitouni,58,Other,Responsable Développement RH,Industries,7,63424,JOB0066
EMP0067-1,Nadia Amrani,23,Other,Agent d'entretien,"Distribution, Commerce",2,45079,JOB0067
EMP0067-2,Amina Zitouni,54,Female,Agent d'entretien,"Distribution, Commerce",2,44731,JOB0067
EMP0067-3,Meriem Saadi,37,Male,Agent d'entretien,"Distribution, Commerce",4,42924,JOB0067
EMP0068-1,Mohamed Chikhi,47,Other,Agent de Bureau d’Ordre,"Banque, Assurance, Finance",0,61316,JOB0068
EMP0068-2,Omar Chikhi,25,Male,Agent de Bureau d’Ordre,"Banque, Assurance, Finance",2,57467,JOB0068
EMP0068-3,Sara Chikhi,30,Female,Agent de Bureau d’Ordre,"Banque, Assurance, Finance",3,54900,JOB0068
EMP0068-4,Samir Derbal,32,Female,Agent de Bureau d’Ordre,"Banque, Assurance, Finance",2,46712,JOB0068
EMP0068-5,Mohamed Derbal,36,Other,Agent de Bureau d’Ordre,"Banque, Assurance, Finance",0,57207,JOB0068
EMP0069-1,Nour Guedira,28,Female,Développeur FULLSTACK Web,"Informatique, Télécom, Internet",3,59524,JOB0069
EMP0070-1,Oussama Saadi,54,Other,Gestionnaire ressources humaines,Services,5,72671,JOB0070
EMP0070-2,Sara Amrani,33,Female,Gestionnaire ressources humaines,Services,8,68693,JOB0070
EMP0070-3,Yasmine Bouzid,26,Other,Gestionnaire ressources humaines,Services,7,68233,JOB0070
EMP0071-1,Ahmed Saadi,31,Female,Social Media Manager – Gestion et Animation des Réseaux Sociaux,Services,3,63572,JOB0071
EMP0072-1,Rachid Chikhi,55,Other,Assistante de la Direction des Ressources Humaines et de  l'Administration Générale,Industries,3,70474,JOB0072
EMP0073-1,Samir Fekih,33,Other,Social Media Manager – Gestion et Animation des Réseaux Sociaux,Services,2,61692,JOB0073
EMP0073-2,Yasmine Saadi,47,Female,Social Media Manager – Gestion et Animation des Réseaux Sociaux,Services,5,67522,JOB0073
EMP0074-1,Yasmine Benaissa,35,Female,Chargé(e) de Développement Commercial – Services d’Impression,Services,5,48938,JOB0074
EMP0074-2,Amina Saadi,53,Male,Chargé(e) de Développement Commercial – Services d’Impression,Services,4,69601,JOB0074
EMP0074-3,Sara Derbal,59,Other,Chargé(e) de Développement Commercial – Services d’Impression,Services,5,56622,JOB0074
EMP0074-4,Karim Khelifi,36,Female,Chargé(e) de Développement Commercial – Services d’Impression,Services,7,60186,JOB0074
EMP0075-1,Meriem Guedira,41,Male,Responsable Commercial,Services,10,63566,JOB0075
EMP0075-2,Sara Chikhi,45,Male,Responsable Commercial,Services,14,72188,JOB0075
EMP0075-3,Omar Khelifi,31,Female,Responsable Commercial,Services,9,65041,JOB0075
EMP0075-4,Zineb Amrani,40,Male,Responsable Commercial,Services,15,68678,JOB0075
EMP0076-1,Nour Guedira,26,Other,Responsable Commercial,Services,8,69960,JOB0076
EMP0077-1,Laila Saadi,34,Male,Chargé(e) de Suivi de Chantier,"BTP, Construction, Immobilier",6,80681,JOB0077
EMP0077-2,Nadia Saadi,45,Female,Chargé(e) de Suivi de Chantier,"BTP, Construction, Immobilier",5,65933,JOB0077
EMP0077-3,Sabrina Fekih,24,Male,Chargé(e) de Suivi de Chantier,"BTP, Construction, Immobilier",2,66564,JOB0077
EMP0077-4,Fatima Fekih,27,Other,Chargé(e) de Suivi de Chantier,"BTP, Construction, Immobilier",7,62019,JOB0077
EMP0077-5,Omar Bouzid,27,Male,Chargé(e) de Suivi de Chantier,"BTP, Construction, Immobilier",5,78473,JOB0077
EMP0078-1,Leila Zitouni,34,Other,Community Manager / Content Creator ,"Distribution, Commerce",2,53684,JOB0078
EMP0078-2,Nadia Benaissa,27,Male,Community Manager / Content Creator ,"Distribution, Commerce",5,64248,JOB0078
EMP0079-1,Zineb Zitouni,53,Female,Techniciens En Maintenance,Services,7,64702,JOB0079
EMP0079-2,Karim Guedira,40,Male,Techniciens En Maintenance,Services,2,58975,JOB0079
EMP0079-3,Nadia Amrani,36,Female,Techniciens En Maintenance,Services,6,77585,JOB0079
EMP0080-1,Omar Khelifi,40,Other,Ingénieur Système d'Information (H/F),"Banque, Assurance, Finance",6,88315,JOB0080
EMP0080-2,Laila Saadi,33,Other,Ingénieur Système d'Information (H/F),"Banque, Assurance, Finance",4,82229,JOB0080
EMP0080-3,Youssef Benaissa,37,Male,Ingénieur Système d'Information (H/F),"Banque, Assurance, Finance",4,79797,JOB0080
EMP0080-4,Ahmed Khelifi,23,Female,Ingénieur Système d'Information (H/F),"Banque, Assurance, Finance",6,90508,JOB0080
EMP0080-5,Karim Derbal,51,Other,Ingénieur Système d'Information (H/F),"Banque, Assurance, Finance",7,63577,JOB0080
EMP0081-1,Sofiane Khelifi,46,Female,Téléconseiller Commercial,"Distribution, Commerce",2,64084,JOB0081
EMP0082-1,Oussama Fekih,43,Other,Directeur des Ressources Humaines,Industries,10,48438,JOB0082
EMP0082-2,Mohamed Derbal,38,Male,Directeur des Ressources Humaines,Industries,15,43661,JOB0082
EMP0082-3,Oussama Zitouni,38,Female,Directeur des Ressources Humaines,Industries,15,45081,JOB0082
EMP0082-4,Laila Khelifi,56,Male,Directeur des Ressources Humaines,Industries,12,51461,JOB0082
EMP0083-1,Meriem Benaissa,40,Other,Telecome coordinator,Services,0,56143,JOB0083
EMP0084-1,Sofiane Fekih,30,Female,Customer Support Agent,"Informatique, Télécom, Internet",6,68016,JOB0084
EMP0084-2,Sofiane Derbal,27,Female,Customer Support Agent,"Informatique, Télécom, Internet",3,71255,JOB0084
EMP0084-3,Youssef Zitouni,33,Female,Customer Support Agent,"Informatique, Télécom, Internet",6,70217,JOB0084
EMP0085-1,Sofiane Amrani,23,Other,Commercial Senior,Industries,12,80219,JOB0085
EMP0085-2,Sara Zitouni,57,Female,Commercial Senior,Industries,10,65867,JOB0085
EMP0085-3,Mohamed Saadi,28,Female,Commercial Senior,Industries,1,69450,JOB0085
EMP0085-4,Oussama Zitouni,25,Female,Commercial Senior,Industries,7,65212,JOB0085
EMP0085-5,Youssef Chikhi,55,Male,Commercial Senior,Industries,11,83658,JOB0085
EMP0086-1,Yasmine Guedira,33,Male,GRH,Industries,4,61684,JOB0086
EMP0086-2,Laila Derbal,60,Other,GRH,Industries,2,75449,JOB0086
EMP0086-3,Sara Bouzid,56,Male,GRH,Industries,0,67163,JOB0086
EMP0086-4,Zineb Zitouni,26,Other,GRH,Industries,1,61802,JOB0086
EMP0086-5,Sofiane Fekih,35,Other,GRH,Industries,4,58574,JOB0086
EMP0087-1,Rachid Saadi,31,Other,Chargé d'études finance,Industries,2,68373,JOB0087
EMP0088-1,Fatima Bouzid,55,Male,Agent de sécurité,Industries,7,48763,JOB0088
